09/19/16 13:34:09:907 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2463080 | AdobeUpdaterGoCartLauncher : inside waitForCFUCallBack.
09/19/16 13:34:10:907 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2463080 | AdobeUpdaterGoCartLauncher : AdobeGC_CFUCallbackFn is invoked
09/19/16 13:34:10:907 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2463080 | AdobeUpdaterGoCartLauncher : inside invokeGCApplication.
09/19/16 13:34:40:922 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2463080 | AdobeUpdaterGoCartLauncher : AdobeGC_ReleaseRef called.
09/19/16 13:34:40:922 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2463080 | AdobeUpdaterGoCartLauncher : inside finalize.
09/19/16 13:34:40:922 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2463080 | AdobeUpdaterGoCartLauncher : unloaded goCart library
09/19/16 13:43:15:167 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2486146 | >>> Adobe Updater Log Begin >>>
09/19/16 13:43:15:167 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2486146 | Application Version: 9.0.0.24
09/19/16 13:43:15:167 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2486146 | cmdline option: -logFile = /Volumes/Storage/cache/library.fbellott/Application Support/Adobe/AAMUpdater/1.0/aamul.log
09/19/16 13:43:15:167 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2486146 | cmdline option: -logLevel = 2
09/19/16 13:43:15:168 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2486146 | StartupUtility : Loaded at startup/logon.
09/19/16 13:43:15:168 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2486146 | CheckIfUpdaterIsEnabled : UpdaterIsNotEnabled.
09/19/16 13:43:15:168 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2486146 | StartupUtility : WARNING - Updater is NOT enabled.
09/19/16 13:43:15:168 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2486146 | Updater has never been run on the machine.
09/19/16 13:43:15:168 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2486146 | StartupUtility : Window is NOT Elapsed.
09/19/16 13:43:15:168 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2486146 | AdobeUpdaterGoCartLauncher : inside initialize.
09/19/16 13:43:15:173 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2486146 | AdobeUpdaterGoCartLauncher : inside getLatestGCApplication.
09/19/16 13:43:15:181 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2486146 | AdobeUpdaterGoCartLauncher : inside waitForCFUCallBack.
